15,NM,1
26,MD,1
82,TN,1
42,MO,8
42,AR,5
33,MA,75
42,CO,15
11,MS,2
11,WI,48
23,GA,3
11,CO,79
42,LA,2
26,MI,10
25,DE,3
21,IA,2
15,NB,4
14,ND,4
21,PA,30
25,AL,1
43,GA,2
26,NC,13
11,OR,18
22,SC,1
12,WY,3
32,PA,15
32,FL,6
84,IL,1
33,DE,1
11,IL,42
15,MI,30
27,MI,7
42,NY,71
12,OH,512
24,WV,3
14,WV,3
31,LA,1
26,CT,2
12,ME,65
45,MI,9
52,NM,2
14,WA,45
11,WV,73
23,SC,6
41,KS,18
21,FL,45
11,KS,53
81,TN,1
21,AZ,97
15,KS,8
24,MN,30
33,NV,5
41,PA,21
23,WI,3
13,IN,4
51,ND,1
82,FL,1
82,MO,1
45,CA,15
43,CO,60
45,ND,3
32,NY,92
41,WI,33
42,NM,3
14,MS,1
81,MT,7
11,MD,17
41,SC,37
45,KS,2
14,MA,64
32,NV,41
51,MN,2
71,TN,2
22,CO,6
33,MT,9
43,OH,83
43,PA,9
25,TX,13
43,DC,5
71,PA,1
13,SD,13
85,DC,1
26,MT,6
32,SC,19
13,TN,10
21,WA,84
14,SD,1
23,KS,3
22,WV,3
24,CO,19
11,ME,10
33,MN,30
33,NC,18
33,SC,6
21,TN,29
25,WI,9
27,WI,1
71,MO,5
43,MD,2
24,CT,8
26,MO,3
23,NC,6
23,UT,12
51,WA,6
72,MO,1
71,FL,1
33,PA,5
23,MO,1
45,SC,1
16,NV,1
45,AR,6
11,MI,326
13,MI,22
13,FL,1
14,PA,10
26,UT,5
41,UT,17
22,IL,1
43,FL,94
26,SD,1
45,WI,3
32,WY,2
27,WA,1
43,ID,16
41,IN,33
12,MD,80
11,NV,27
24,IL,9
13,NY,3
43,MI,96
44,MN,3
13,OH,171
33,UT,13
26,TN,5
23,VA,9
25,LA,1
43,KY,28
43,VT,4
71,WA,8
41,CA,512
61,NY,1
23,CA,11
43,CT,25
52,KS,6
21,KS,17
12,KY,288
14,AL,2
42,FL,1
25,MI,35
21,MN,42
42,MN,16
14,WI,11
33,MD,2
81,MO,1
27,IL,1
42,IN,4
24,CA,117
26,CO,17
45,IL,2
14,NH,6
15,AL,6
43,AR,6
32,IN,25
43,KS,23
41,MN,88
41,NY,431
23,IN,1
44,KS,3
72,MA,70
33,FL,40
42,AK,1
16,IL,1
25,ID,11
12,MA,504
12,NB,60
33,TN,214
32,CO,73
42,NC,14
27,IN,1
61,MI,3
12,DE,33
43,MS,3
14,NC,10
11,PA,36
21,TX,36
71,DC,37
43,AK,1
23,LA,1
51,LA,1
45,NH,1
62,IN,3
45,ID,3
44,NJ,7
13,AR,1
72,CA,3
22,AZ,7
12,PA,118
15,PA,5
27,TN,4
25,WA,43
51,WV,4
23,ME,1
14,VT,2
44,MT,1
25,SC,9
62,MI,3
31,CA,10
14,CT,18
42,ME,10
32,WA,76
23,NJ,2
42,CT,14
44,FL,6
26,SC,51
24,DC,4
41,MI,117
24,NC,17
15,DC,14
45,MD,3
52,SC,10
12,VT,20
25,KS,5
43,MA,5
22,OR,10
12,NM,17
51,MI,17
42,OR,15
32,RI,7
33,TX,36
72,TN,3
32,AL,10
25,AR,1
25,CA,126
22,ME,3
15,WI,8
45,CT,9
41,LA,16
32,MI,59
12,NC,262
13,VA,6
14,RI,2
12,WV,36
26,NY,26
44,TN,11
62,CA,3
71,VT,1
62,WI,1
41,TX,152
25,OK,6
71,CO,3
32,CT,41
24,NJ,52
15,NJ,19
14,DE,2
32,NM,10
21,IL,28
21,MO,22
14,NV,4
51,NY,4
23,PA,2
15,AZ,19
12,IL,194
25,NC,14
32,NH,1
51,RI,1
81,KY,38
13,TX,2
13,KY,12
41,MA,342
13,OK,8
82,RI,1
13,MT,6
43,NJ,29
43,ME,11
41,OH,146
52,WA,9
52,SD,1
21,MT,8
22,VT,1
23,AZ,5
22,KS,6
22,MO,5
15,SC,7
22,IN,1
41,CO,80
43,WI,14
42,IL,16
23,MD,3
52,MN,2
43,NM,2
29,CA,1
26,WA,15
16,MT,1
51,NC,1
21,UT,8
22,PA,1
16,TN,1
82,KY,2
31,PA,2
15,CA,109
13,MN,9
14,IL,8
13,NB,3
15,NH,4
42,TX,32
15,WY,1
44,VA,1
23,VT,1
41,AR,9
33,ID,10
23,MA,4
22,WA,15
27,CO,2
52,MA,11
12,MI,819
11,MN,67
41,AL,7
23,SD,2
52,GA,1
41,KY,71
32,MT,6
82,IL,2
12,IN,151
42,VT,5
16,CT,1
27,SC,2
32,TX,83
33,CA,280
21,DC,16
33,MO,8
24,MO,12
27,NB,1
11,DE,3
33,VA,34
14,IA,3
11,ND,45
41,NJ,177
15,SD,4
43,NV,5
51,NV,1
45,IN,1
24,LA,3
61,MO,2
52,ND,4
13,CO,26
24,TX,36
25,PA,1
32,KS,25
11,KY,208
24,VA,28
42,WI,10
15,ID,4
51,OH,14
45,TX,3
52,NC,3
33,AZ,47
14,FL,6
51,NJ,8
11,UT,88
71,MA,27
26,IL,1
33,RI,1
21,OR,18
12,SD,24
41,TN,67
41,MO,53
28,TN,6
41,AK,1
24,AR,1
51,MO,2
12,MS,4
13,ND,23
25,NY,29
11,WA,159
33,AL,3
16,GM,1
26,KY,5
24,MA,49
13,ID,4
31,CT,1
26,PA,1
41,ID,8
52,NJ,9
23,AK,1
14,CA,122
21,CT,85
27,CT,1
43,IN,12
41,NC,82
21,NJ,615
62,NY,6
62,MA,27
43,SC,17
85,MO,1
21,GA,11
12,NY,523
11,OK,18
33,WI,8
23,WV,1
41,AZ,168
44,CA,10
62,WA,6
11,AL,23
14,LA,1
11,CA,175
26,DC,3
24,IN,15
33,NB,7
27,SD,1
32,ME,4
13,SC,6
12,TN,286
14,TN,7
22,WI,6
51,OR,5
43,VA,28
21,OK,3
27,NC,3
22,AR,1
25,OH,12
12,WA,338
22,NC,6
33,DC,14
41,NV,69
33,OH,137
33,IN,11
14,OR,3
13,OR,3
44,AR,1
41,GA,38
33,OK,7
24,OK,7
45,NC,4
22,OK,2
45,MO,1
15,NY,20
12,OK,55
82,WA,1
13,AK,9
45,AZ,4
44,KY,3
24,OH,35
33,WA,68
52,CO,2
71,NY,4
26,ME,2
32,OH,41
45,VA,2
11,AR,15
43,IA,5
71,IL,2
12,AR,32
14,SC,2
21,VA,53
21,LA,1
11,MT,59
41,WA,112
45,NJ,7
22,DC,2
52,CT,9
41,DC,154
33,KS,16
33,KY,15
23,WA,12
11,SC,72
25,TN,9
43,UT,13
25,VA,13
41,WV,14
23,DE,1
26,OH,9
71,KY,2
24,AZ,26
41,CT,62
26,CA,27
45,TN,4
33,NH,4
52,OH,39
43,OK,11
15,MN,3
27,OH,5
52,WV,4
26,OR,5
62,IL,1
85,MT,3
12,AK,15
45,MT,3
45,OH,26
26,FL,1
25,NM,1
11,AK,4
33,ME,5
25,UT,42
32,CA,381
42,TN,20
51,TN,7
15,TX,7
24,WA,44
26,TX,4
32,WV,3
