290,6,CA,6
13C,7,FL,2
13C,11,MA,14
13A,7,MI,8
13A,55,MI,3
200,20,MN,2
13C,11,NJ,30
13A,18,NV,6
290,18,OH,38
13A,11,SC,2
13A,25,SD,1
220,19,TN,1
290,25,VA,16
200,20,AZ,1
23D,12,CO,1
13A,4,CT,1
13A,14,FL,2
13B,4,MA,1
23H,11,TN,1
13C,8,MA,5
13C,14,NH,1
13B,23,FL,2
290,53,KY,4
290,24,MD,1
13C,23,MI,9
13A,13,SC,13
13A,1,WA,3
13B,20,WV,25
13A,11,IA,1
200,22,IN,1
13B,7,MD,2
13B,15,ND,2
13C,23,NV,1
26A,20,OH,1
13B,25,ID,1
220,21,KY,3
23H,17,OH,1
13A,25,CO,2
290,50,IN,1
13A,13,AR,4
13C,24,GA,1
290,25,IL,8
23H,20,MA,12
280,20,MA,1
35A,20,MI,70
13A,4,MI,1
200,20,MO,4
11B,10,CO,1
13A,22,IN,2
13B,25,ND,1
120,25,NV,2
13B,10,PA,1
13B,18,RI,2
13C,53,TX,2
520,10,VA,1
26B,21,KY,1
290,57,MT,1
13C,1,OH,1
26B,20,UT,1
13A,18,UT,2
290,4,DC,2
23H,53,VA,1
120,53,CA,1
23F,14,KS,1
13A,15,MI,7
220,5,PA,1
290,8,NB,2
13A,18,OR,4
11D,20,SC,2
23D,25,UT,1
23H,5,SD,1
13C,44,CT,1
120,25,WV,1
290,23,KY,1
23D,53,MA,1
13B,25,MT,1
220,22,NJ,1
23C,24,TX,1
290,48,CT,1
13B,18,ND,3
13A,12,NV,4
13A,4,NY,2
13B,15,TN,6
13B,13,WV,5
13C,21,OR,1
290,50,SD,1
120,14,ID,1
26A,8,KS,1
290,8,KS,1
13B,1,MN,3
13C,25,NY,50
13A,25,CT,2
13B,25,KS,2
13C,21,NV,4
23H,13,OH,11
23H,55,SC,1
200,4,UT,1
290,3,CA,2
13C,52,MI,5
13A,6,NC,1
26C,20,CO,1
35A,25,MI,1
13B,5,NC,4
290,24,CA,14
13B,6,CT,1
23F,13,MA,6
13C,13,ND,4
13B,20,OK,9
23D,20,OR,2
290,5,VA,11
13B,3,IN,8
13C,7,MN,2
290,15,MT,1
13B,5,NM,1
23F,20,OH,7
120,13,PA,2
520,22,AZ,1
26B,25,MO,1
270,8,ID,1
13A,14,MI,1
13B,48,RI,1
13C,25,DC,5
13A,21,KY,2
13C,42,MI,1
13B,53,MN,11
13C,20,MO,36
13C,22,NJ,200
13B,7,OH,3
13C,12,NC,7
23G,25,WI,1
290,48,CA,1
290,23,GA,1
290,9,TN,4
11A,20,OH,1
11A,13,IN,1
35B,20,KY,2
200,24,MA,1
13A,51,MI,1
26B,25,OH,1
120,25,DC,2
13A,20,IA,7
13C,7,KS,2
13B,9,MI,10
13C,21,MI,15
290,22,NC,7
120,13,NJ,6
290,2,TN,2
220,20,UT,8
23D,5,WA,3
11A,16,MN,1
290,3,AZ,2
11A,13,DC,1
26A,20,WI,2
35A,20,SC,1
13B,25,IL,5
11D,20,KY,6
35A,13,KY,3
290,20,MN,59
290,18,MO,9
290,25,NY,956
290,52,OH,9
13C,3,TN,1
290,25,KS,6
290,55,SC,2
13C,25,ID,1
13B,53,MT,2
290,5,TN,2
290,7,AZ,1
13A,12,FL,1
100,20,TN,3
13C,4,TX,4
11A,16,CA,1
13B,11,CA,6
290,6,CT,2
13B,25,DC,13
13B,53,MI,45
13B,37,MN,2
290,18,ND,3
220,25,OH,10
13A,20,WA,31
290,13,NB,14
13A,8,NC,2
13A,13,NM,8
23C,8,OH,4
13B,8,OK,2
290,18,RI,4
23G,18,UT,1
13C,9,VA,1
250,2,WA,1
13C,46,CA,1
290,13,OK,1
120,18,MA,1
520,14,WI,1
13C,7,WI,1
13B,3,AZ,10
13C,24,AZ,4
290,13,DC,12
290,18,FL,10
13B,21,KY,7
290,5,MA,15
13B,7,ME,2
13C,15,MI,5
23F,18,MS,1
13C,25,NC,11
13C,20,SC,30
290,8,TX,1
13B,50,WA,5
13A,3,WI,7
13A,13,AL,2
09A,13,CA,3
290,25,DE,1
13B,12,FL,1
290,11,PA,2
13C,4,RI,1
13C,13,AK,2
13B,25,OR,3
23H,11,WI,1
290,53,MA,12
23H,55,MA,1
290,6,NC,1
23H,53,WA,1
13A,15,CA,23
290,20,CO,49
240,20,CO,1
120,10,CO,1
220,20,CT,3
13B,7,DC,4
13B,13,FL,34
13C,13,KY,36
13A,14,KY,1
13C,8,MN,1
35A,25,OH,3
23C,8,UT,4
13B,39,AL,1
13B,7,CO,3
23D,5,ND,1
26A,12,SC,1
120,13,SD,1
13B,7,WI,1
11B,13,CO,1
13C,50,DE,1
13B,17,FL,1
23D,5,MO,1
120,3,OH,1
13A,21,CO,1
13C,15,MA,1
13A,8,NV,1
13A,6,AZ,1
11A,20,DC,1
100,14,DE,1
290,14,WA,1
13A,20,AZ,34
13C,20,CT,73
13B,13,MI,83
23F,20,MI,7
13C,5,NH,1
13B,22,WA,10
120,13,WI,7
13C,8,AL,1
13B,20,IA,3
13C,5,IL,4
250,22,MA,1
13A,20,MD,4
13C,21,MO,5
13C,3,NC,2
13B,8,NM,1
13C,14,VA,1
13C,23,AR,1
23H,12,OH,3
13A,20,WY,1
13A,4,CO,1
26C,25,ND,1
220,14,OH,2
13C,12,TN,1
120,18,AK,1
290,17,MN,1
290,55,NC,1
120,8,WA,1
26A,25,WI,1
290,25,CT,15
290,13,ND,5
23D,12,TN,1
290,52,VA,13
23C,13,WA,1
13C,14,MN,1
23D,20,SC,2
13A,6,WA,1
290,8,WA,1
290,48,AR,1
290,5,IN,2
23H,46,KY,1
240,20,NC,1
13C,23,PA,1
13C,54,CA,2
250,20,CO,1
290,46,CT,1
290,18,MI,44
240,55,MI,1
120,17,ND,1
13A,3,NV,3
13B,3,OH,17
23C,24,OH,3
13B,38,SC,1
13C,22,CA,1
13C,7,CO,3
13A,1,CT,1
13B,18,KS,3
270,5,SD,1
120,18,WA,6
13B,16,WA,2
13A,10,KS,1
13C,5,KS,4
11D,20,MT,1
23H,5,ND,2
520,14,MO,1
09A,49,TN,1
290,7,TX,2
13B,14,WA,1
120,50,CO,3
13C,48,SC,1
290,14,CA,5
13B,3,FL,7
290,18,IL,13
290,5,NH,2
13C,25,NJ,95
13B,1,OH,1
13C,21,TN,11
13B,52,VA,5
120,13,GA,6
290,8,MA,2
120,22,MO,1
240,20,CA,1
13C,1,DC,1
290,8,NC,2
120,12,OH,1
120,24,TN,1
100,53,UT,1
13B,52,MD,1
13C,1,NC,1
23C,24,VT,1
13C,22,GA,5
290,20,IA,7
13C,5,MA,22
13B,13,MD,8
23C,7,MT,2
290,10,NH,3
290,24,OH,2
290,21,OH,10
