42,290,TX,7
12,13A,UT,8
24,13B,KY,4
22,23H,MA,2
24,13B,RI,1
11,23G,UT,1
41,13C,KS,3
51,11A,MA,1
14,26A,VA,1
13,13C,CO,1
72,120,MA,2
33,290,ME,1
33,290,MO,2
45,13C,AZ,1
42,11A,CA,1
32,13A,CT,8
42,13B,KY,6
42,13C,ME,6
13,35A,MI,3
25,23H,NJ,1
52,23H,NM,1
11,200,OH,1
14,23C,OH,2
32,220,OH,3
12,13C,OR,30
33,35B,TN,1
14,23H,TX,2
11,13B,VA,18
33,13C,WA,18
62,13C,WA,2
14,13B,AZ,5
42,13A,NY,5
43,120,VA,1
43,240,CA,2
14,120,WA,3
11,26B,WA,2
12,23A,WA,1
23,290,GA,1
43,13C,ID,1
11,23D,WV,2
25,200,MA,1
61,13C,MI,2
27,13C,NC,1
41,13C,DC,15
15,13C,MI,13
25,13B,MO,2
33,13A,NJ,4
22,290,OR,5
12,290,SD,8
11,290,AL,2
21,23H,CA,4
43,13B,NC,4
45,13C,NJ,5
32,13A,OK,1
42,13A,UT,2
71,13C,MA,7
12,120,TX,3
31,13A,CT,1
45,13B,NC,2
14,120,PA,1
27,13B,MI,2
32,13A,NJ,2
22,290,NY,60
32,13B,OH,6
14,13B,PA,2
32,13A,VA,5
14,13B,WI,1
14,23C,MI,1
71,220,MO,2
12,23D,MO,1
41,290,OK,3
44,13B,WA,2
71,13C,CO,1
32,220,OR,1
25,13C,VA,1
41,23D,VA,1
26,290,KS,1
22,13B,TX,1
25,220,WA,1
32,290,AZ,24
24,200,CA,3
23,23D,CO,1
26,290,CT,2
11,26B,CT,1
21,290,FL,34
21,290,IL,22
14,290,KY,5
41,13B,MO,21
21,13C,NH,3
12,290,NJ,222
11,13C,NJ,56
42,13C,NJ,34
12,13B,NV,21
52,13C,OH,7
32,35B,UT,1
12,220,AL,2
13,23H,CO,2
23,220,KY,1
12,13C,MD,5
32,13C,ME,2
11,13B,NB,4
42,13C,NM,2
13,290,NY,1
16,13C,CT,1
42,13B,MO,2
14,13B,RI,1
32,120,MO,2
32,26B,MS,1
33,13A,NV,2
21,13C,VA,3
41,290,WI,6
21,220,AZ,1
42,13B,MA,11
26,13C,MI,2
13,13A,MN,2
43,23H,OH,2
42,11A,OK,1
41,220,MA,1
43,290,MT,2
32,35B,NB,1
23,250,TN,1
14,13C,UT,1
52,13B,AR,1
41,120,AZ,6
11,13A,IN,7
12,120,KY,3
11,13B,MA,24
45,13B,MI,2
11,13B,ND,13
32,13C,NJ,63
62,13B,NY,5
14,13C,OH,6
11,13C,OK,5
12,13C,PA,67
11,13B,SC,22
33,290,TX,12
52,23H,WI,1
21,290,WI,7
41,220,AZ,1
32,13A,UT,2
71,13A,MA,2
32,23C,ND,1
33,220,VA,1
24,290,WI,1
24,520,MO,1
12,120,CA,36
32,23G,CT,2
42,290,DC,1
44,11B,ME,1
21,23F,MT,1
11,23F,ND,3
43,290,NJ,11
12,13A,NV,29
41,13B,TX,73
14,290,FL,2
24,13B,OH,5
12,23C,SC,2
21,290,UT,3
52,13B,VA,2
51,13B,WA,2
13,220,OH,25
24,220,SC,1
82,290,DE,2
11,26C,ND,1
24,35A,OH,1
41,23H,CA,1
13,120,NB,1
51,13B,WI,1
13,13C,CA,3
41,290,KY,16
43,13A,SC,4
14,13B,TX,10
13,13C,UT,1
32,13C,VA,6
43,13C,MN,3
51,13C,NV,1
22,290,RI,5
43,13C,IA,1
13,13A,NM,2
16,13B,TN,1
23,13B,MI,2
14,13A,NJ,1
45,23C,OH,1
15,240,OH,1
21,280,UT,1
22,290,CO,3
45,290,ID,1
12,13B,IN,34
12,13A,KS,19
33,35A,KY,1
52,290,KY,2
11,13B,MN,26
15,290,NC,18
32,23F,ND,2
14,13C,ND,1
32,290,SC,5
11,13B,SD,7
25,13C,WA,7
52,23D,WI,1
11,13C,WI,3
24,13A,WI,1
12,13A,NH,4
33,23H,CA,1
21,13C,KS,1
43,290,NC,5
32,13C,OK,6
24,290,IN,7
12,120,NJ,1
12,26B,OH,2
13,13A,AZ,5
81,13A,KY,2
15,290,MA,1
15,290,MN,3
52,290,MT,1
42,290,NM,1
51,13C,OH,2
13,26C,WI,1
51,120,WV,1
12,270,KY,1
26,290,AZ,14
43,220,KS,1
13,290,SD,3
25,220,TN,1
33,290,IA,1
33,13B,KS,2
32,13B,MT,2
41,13B,NB,8
42,290,OH,5
12,23G,TN,1
11,23G,WA,2
13,13A,CO,1
41,23H,LA,1
24,200,MI,1
32,13B,RI,1
52,13B,AZ,2
12,26C,CO,1
41,13C,FL,1
51,13B,LA,1
62,290,TX,1
13,23G,WA,1
